parameter,name,unit,count,mean,median,std,min,max,p01,p1,p5,p95,p99,p999,q1,q3,iqr,iqr_lower,iqr_upper,outliers_iqr_count,outliers_iqr_pct,has_extreme_max,has_extreme_min,has_negative,mean_median_diff_pct
a1_sea_level_rise_trend,Sea Level Rise Trend,mm/year,12563,1.1258878,1.13,1.1751723,-1.7,5.04,-1.7,-0.77,-0.14,2.67,5.04,5.04,0.0,1.95,1.95,-2.9250002,4.875,219,1.7432142004298337,False,False,True,-0.363915354013443
a2_maximum_of_maximum,Storm Surge,m,481,3.7847934,3.7131708,1.5734273,0.65596926,8.203865,0.6773936,0.8424212,1.3935485,6.603039,7.4799323,7.945418,2.5328906,4.8699164,2.337026,-0.9726484,8.375456,0,0.0,False,False,False,1.9288800954818726
a3_max_water_above_mhhw,Max Water Level,m above MHHW,12567,0.78926206,1.1017668,0.53671813,0.0,1.673,0.0,0.0,0.0,1.337733,1.673,1.673,0.0,1.147,1.147,-1.7205,2.8674998,0,0.0,False,False,False,-28.363967895507812
a4_annual_high_tide_flood_days,High Tide Flood Days,days/year,12566,2.31942,0.56,3.2074718,0.0,11.88,0.0,0.0,0.0,7.28,11.88,11.88,0.0,3.4,3.4,-5.1000004,8.5,596,4.742957186057615,False,False,False,314.1821594238281
a5_100yr_flood_data,100-Year Flood Hazard,% coverage,345378,4.290729,0.0,15.207466,0.0,100.0,0.0,0.0,0.0,25.217253,99.67528,100.0,0.0,0.0035543272,0.0035543272,-0.0053314907,0.008885818,85638,24.79544151625176,False,False,False,0.0
a6_coastal_erosion_rate,Coastal Erosion Rate,m/year,7225,0.11116874,0.0,1.5402759,-4.6323,17.5882,-3.3153,-1.4253,-1.0252,1.46,5.46,17.5882,-0.35,0.0,0.35,-0.875,0.525,938,12.982698961937716,False,False,True,0.0
a7_vertical_land_motion,Vertical Land Motion,mm/year,63657,-0.26081675,-0.22636528,1.7047029,-10.726381,11.325492,-6.627086,-5.634776,-2.8898954,2.4047022,4.116102,8.448704,-1.1607143,0.65839875,1.819113,-3.8893838,3.3870683,3143,4.9373988720800535,False,False,True,15.219413757324219
a8_post_wildfire_debris_flow,Post Wildfire Debris Flow,probability,340758,0.016450724,0.0,0.07224578,0.0,0.8658969,0.0,0.0,0.0,0.12826481,0.4095527,0.66812176,0.0,0.0,0.0,0.0,0.0,25670,7.533205383292542,False,False,False,0.0
a9_max_precipitation,Max Precipitation,mm/day,316510,89.3573,95.59827,49.97544,0.0,269.43793,0.0,0.0,0.0,164.79779,200.64275,239.22308,68.07134,120.48106,52.409714,-10.543228,199.09563,3356,1.0603140501090014,False,False,False,-6.528326034545898
a10_t95_threshold,95th Percentile Temp Threshold,°C,313870,27.346947,30.04496,11.417915,0.0,45.61787,0.0,0.0,0.0,39.713398,44.11326,44.871998,25.272938,34.270752,8.997814,11.7762165,47.76747,39279,12.514416796762992,False,False,False,-8.97991943359375
a11_t95_avg,Avg Extreme Temp,°C,313870,29.105257,32.256073,11.912769,0.0,47.103886,0.0,0.0,0.0,41.151863,45.431408,46.345062,27.628658,36.019073,8.390415,15.0430355,48.6047,39281,12.515054003249753,False,False,False,-9.768133163452148
a12_t5_threshold,5th Percentile Temp Threshold,°C,313870,-0.78760755,-0.3783872,3.0575342,-22.650099,9.954308,-12.218211,-9.065701,-6.4503665,3.932452,6.5589213,7.9665728,-2.2185152,0.9592734,3.1777885,-6.985198,5.725956,17348,5.527129066173893,False,False,True,108.1485595703125
a13_t5_avg,Avg Extreme Cold,°C,313870,-2.286163,-1.8753662,3.503013,-25.831522,8.727783,-15.99998,-12.067355,-8.881205,2.5500298,5.3063903,6.869699,-4.171571,0.0,4.171571,-10.428926,6.257356,7588,2.417561410775162,False,False,True,21.904888153076172
a14_wind_95_threshold,95th Percentile Wind Threshold,m/s,337279,3.6867223,3.4074726,2.2528856,0.0,12.936356,0.0,0.0,0.0,8.157933,10.684586,12.058808,2.6424,4.3914433,1.7490432,0.018835306,7.015008,71247,21.124054566101062,False,False,False,8.19521427154541
a15_wind_avg_extreme,Avg Extreme Wind,m/s,337279,9.278901e+28,3.9782236,inf,0.0,1.2297498e+33,0.0,0.0,0.0,9.59292,12.591589,1.1259825e+23,3.1335218,5.1834254,2.0499036,0.058666468,8.258281,71370,21.160522890544623,True,False,False,2.332423349533373e+30
b_1_land_percentage,Land Area,% of pixel,345377,91.4268,100.0,26.174006,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,99.93264,100.0,0.067359924,99.831604,100.10104,75811,21.950216719700503,False,False,False,-8.573196411132812
b_2_population_density,Population Density,people/km²,337098,127.91181,3.1526263,564.1191,0.0,23881.08,0.0,0.0,0.18790326,651.79364,2927.2622,6453.849,0.98869044,14.646572,13.657882,-19.49813,35.133392,59460,17.638787533595572,False,False,False,3957.309814453125
