county,state,county_pixels,lecz_pixels,phase1_pixels,phase2_pixels,total_value_pixels,min_water_m,max_water_m,mean_water_m,has_lecz,processing_time,file
Humboldt,CA,9641,468,417,172,589,1.1549999713897705,1.1554830074310303,1.1554306745529175,True,5.8505539894104,a3_max_water_above_mhhw\CA\Humboldt_max_water_lecz.tif
Orange,CA,2209,208,144,78,222,0.74566650390625,0.758187472820282,0.7462587356567383,True,1.3201165199279785,a3_max_water_above_mhhw\CA\Orange_max_water_lecz.tif
Monterey,CA,8943,204,248,122,370,0.7601280808448792,0.8252331018447876,0.8242653608322144,True,5.3468756675720215,a3_max_water_above_mhhw\CA\Monterey_max_water_lecz.tif
Ventura,CA,5018,175,162,75,237,0.7206813097000122,0.9369999766349792,0.790505588054657,True,2.75216007232666,a3_max_water_above_mhhw\CA\Ventura_max_water_lecz.tif
Marin,CA,1566,372,393,131,524,0.8600000143051147,0.9805175065994263,0.9157738089561462,True,1.1843361854553223,a3_max_water_above_mhhw\CA\Marin_max_water_lecz.tif
Alameda,CA,2104,366,169,201,370,0.9290000200271606,0.9290000200271606,0.9290000200271606,True,1.6276049613952637,a3_max_water_above_mhhw\CA\Alameda_max_water_lecz.tif
Mendocino,CA,9433,148,193,71,264,0.9386706352233887,0.9386706352233887,0.9386707544326782,True,5.245279788970947,a3_max_water_above_mhhw\CA\Mendocino_max_water_lecz.tif
San Mateo,CA,1314,217,207,85,292,0.8600000143051147,0.9290000200271606,0.9215564727783203,True,0.9889137744903564,a3_max_water_above_mhhw\CA\San Mateo_max_water_lecz.tif
San Luis Obispo,CA,8949,103,197,19,216,0.7601280808448792,0.7601280808448792,0.7601280808448792,True,4.927942752838135,a3_max_water_above_mhhw\CA\San Luis Obispo_max_water_lecz.tif
San Diego,CA,11297,329,249,120,369,0.758187472820282,0.8103469014167786,0.7845321893692017,True,6.274013519287109,a3_max_water_above_mhhw\CA\San Diego_max_water_lecz.tif
Los Angeles,CA,11019,273,423,77,500,0.74566650390625,0.9369999766349792,0.7894819378852844,True,6.083472728729248,a3_max_water_above_mhhw\CA\Los Angeles_max_water_lecz.tif
Contra Costa,CA,2065,484,282,228,510,0.8600000143051147,1.10176682472229,1.069336175918579,True,1.4752280712127686,a3_max_water_above_mhhw\CA\Contra Costa_max_water_lecz.tif
Del Norte,CA,2805,144,127,73,200,1.1549999713897705,1.1549999713897705,1.154999852180481,True,3.013578176498413,a3_max_water_above_mhhw\CA\Del Norte_max_water_lecz.tif
Santa Barbara,CA,7514,184,464,45,509,0.7206813097000122,0.9369999766349792,0.7334547638893127,True,8.29062533378601,a3_max_water_above_mhhw\CA\Santa Barbara_max_water_lecz.tif
San Francisco,CA,170,63,63,18,81,0.8600000143051147,0.9805175065994263,0.896618127822876,True,0.2517738342285156,a3_max_water_above_mhhw\CA\San Francisco_max_water_lecz.tif
Sonoma,CA,4333,238,204,123,327,0.8600000143051147,1.10176682472229,0.9401078820228577,True,5.45137619972229,a3_max_water_above_mhhw\CA\Sonoma_max_water_lecz.tif
Solano,CA,2368,839,478,368,846,1.10176682472229,1.10176682472229,1.1017667055130005,True,5.077707290649414,a3_max_water_above_mhhw\CA\Solano_max_water_lecz.tif
Napa,CA,2185,118,76,42,118,1.10176682472229,1.10176682472229,1.1017667055130005,True,2.8937625885009766,a3_max_water_above_mhhw\CA\Napa_max_water_lecz.tif
Santa Cruz,CA,1289,74,90,27,117,0.8252331018447876,0.8252331018447876,0.8252332210540771,True,1.4751732349395752,a3_max_water_above_mhhw\CA\Santa Cruz_max_water_lecz.tif
Santa Clara,CA,3565,138,49,89,138,0.9290000200271606,0.9290000200271606,0.9289999604225159,True,4.151939868927002,a3_max_water_above_mhhw\CA\Santa Clara_max_water_lecz.tif
San Joaquin,CA,3870,1198,348,850,1198,1.10176682472229,1.10176682472229,1.1017667055130005,True,6.348438739776611,a3_max_water_above_mhhw\CA\San Joaquin_max_water_lecz.tif
Trinity,CA,8675,0,0,0,0,,,,False,0.8363890647888184,a3_max_water_above_mhhw\CA\Trinity_max_water_lecz.tif
San Bernardino,CA,52679,12,0,0,0,,,,True,0.7233467102050781,a3_max_water_above_mhhw\CA\San Bernardino_max_water_lecz.tif
Yolo,CA,2834,500,235,370,605,1.10176682472229,1.10176682472229,1.1017667055130005,True,3.9372336864471436,a3_max_water_above_mhhw\CA\Yolo_max_water_lecz.tif
Siskiyou,CA,16834,0,0,0,0,,,,False,1.7273623943328857,a3_max_water_above_mhhw\CA\Siskiyou_max_water_lecz.tif
San Benito,CA,3817,0,0,0,0,,,,False,0.17081665992736816,a3_max_water_above_mhhw\CA\San Benito_max_water_lecz.tif
Sutter,CA,1727,3,138,2,140,1.10176682472229,1.10176682472229,1.1017667055130005,True,2.1150104999542236,a3_max_water_above_mhhw\CA\Sutter_max_water_lecz.tif
Sacramento,CA,2739,759,338,467,805,1.10176682472229,1.10176682472229,1.1017667055130005,True,4.4336159229278564,a3_max_water_above_mhhw\CA\Sacramento_max_water_lecz.tif
Riverside,CA,19197,706,0,0,0,,,,True,0.9329395294189453,a3_max_water_above_mhhw\CA\Riverside_max_water_lecz.tif
Lincoln,OR,2738,316,229,137,366,1.2848498821258545,1.2848498821258545,1.2848501205444336,True,3.5439071655273438,a3_max_water_above_mhhw\OR\Lincoln_max_water_lecz.tif
Tillamook,OR,3111,320,241,111,352,1.2186683416366577,1.2848498821258545,1.2422642707824707,True,3.6290290355682373,a3_max_water_above_mhhw\OR\Tillamook_max_water_lecz.tif
Coos,OR,4417,446,314,176,490,1.1472437381744385,1.2649999856948853,1.155294418334961,True,5.575470209121704,a3_max_water_above_mhhw\OR\Coos_max_water_lecz.tif
Douglas,OR,13534,161,138,64,202,1.1472437381744385,1.1472437381744385,1.147243618965149,True,15.172173261642456,a3_max_water_above_mhhw\OR\Douglas_max_water_lecz.tif
Lane,OR,12322,147,105,74,179,1.1472437381744385,1.2848498821258545,1.249871850013733,True,14.678450584411621,a3_max_water_above_mhhw\OR\Lane_max_water_lecz.tif
Clatsop,OR,2370,461,319,175,494,1.2186683416366577,1.2186683416366577,1.2186682224273682,True,3.3254106044769287,a3_max_water_above_mhhw\OR\Clatsop_max_water_lecz.tif
Curry,OR,4499,108,195,29,224,1.1549999713897705,1.2649999856948853,1.2343899011611938,True,5.882459402084351,a3_max_water_above_mhhw\OR\Curry_max_water_lecz.tif
Benton,OR,1892,0,0,0,0,,,,False,0.13468623161315918,a3_max_water_above_mhhw\OR\Benton_max_water_lecz.tif
Josephine,OR,4450,0,0,0,0,,,,False,0.19814014434814453,a3_max_water_above_mhhw\OR\Josephine_max_water_lecz.tif
Columbia,OR,1851,284,202,103,305,1.2186683416366577,1.2186683416366577,1.2186682224273682,True,2.2676777839660645,a3_max_water_above_mhhw\OR\Columbia_max_water_lecz.tif
Multnomah,OR,1321,193,180,112,292,1.2186683416366577,1.2186683416366577,1.2186682224273682,True,1.6832070350646973,a3_max_water_above_mhhw\OR\Multnomah_max_water_lecz.tif
Clackamas,OR,5083,11,0,0,0,,,,True,0.5558192729949951,a3_max_water_above_mhhw\OR\Clackamas_max_water_lecz.tif
King,WA,5943,145,378,16,394,1.1469999551773071,1.1469999551773071,1.1470000743865967,True,7.629056215286255,a3_max_water_above_mhhw\WA\King_max_water_lecz.tif
Grays Harbor,WA,5292,548,355,244,599,1.3377330303192139,1.6729999780654907,1.6699217557907104,True,7.500302791595459,a3_max_water_above_mhhw\WA\Grays Harbor_max_water_lecz.tif
Whatcom,WA,5937,214,193,79,272,1.125,1.125,1.125,True,7.078835964202881,a3_max_water_above_mhhw\WA\Whatcom_max_water_lecz.tif
Pierce,WA,4726,235,388,33,421,1.1469999551773071,1.1469999551773071,1.1470000743865967,True,6.373110771179199,a3_max_water_above_mhhw\WA\Pierce_max_water_lecz.tif
Pacific,WA,2731,687,391,315,706,1.2186683416366577,1.6729999780654907,1.5392746925354004,True,3.7813799381256104,a3_max_water_above_mhhw\WA\Pacific_max_water_lecz.tif
Thurston,WA,2097,91,173,22,195,1.1469999551773071,1.1469999551773071,1.1470000743865967,True,2.599571943283081,a3_max_water_above_mhhw\WA\Thurston_max_water_lecz.tif
Island,WA,745,290,371,53,424,1.062000036239624,1.1469999551773071,1.0692172050476074,True,1.1446588039398193,a3_max_water_above_mhhw\WA\Island_max_water_lecz.tif
San Juan,WA,754,116,501,4,505,1.0509999990463257,1.125,1.1114130020141602,True,1.0907001495361328,a3_max_water_above_mhhw\WA\San Juan_max_water_lecz.tif
Snohomish,WA,5706,287,198,125,323,1.062000036239624,1.1469999551773071,1.119236946105957,True,7.80948805809021,a3_max_water_above_mhhw\WA\Snohomish_max_water_lecz.tif
Jefferson,WA,5065,247,422,26,448,1.062000036239624,1.5053664445877075,1.131216049194336,True,6.667967081069946,a3_max_water_above_mhhw\WA\Jefferson_max_water_lecz.tif
