County,State,ValidPixels,PointCount,MinVLM,MaxVLM,MeanVLM,MedianVLM,StdVLM
Humboldt,CA,6405,3944244,-4.0727,5.5729,1.6787,1.6845,1.3525
Orange,CA,2099,789783,-2.8690,11.3317,1.3750,0.1727,2.9187
Monterey,CA,8012,3834481,-6.5749,2.5336,-0.3192,-0.2984,1.0493
Ventura,CA,4569,2162088,-6.1974,1.1775,-0.5649,-0.3347,0.9902
Marin,CA,1200,186372,-4.4876,0.9621,-1.3204,-1.2404,0.7807
Alameda,CA,1444,958752,-3.0019,1.7468,-0.5155,-0.6506,0.6951
Mendocino,CA,7159,5186254,-4.3517,4.0036,0.1769,0.1318,1.2551
San Mateo,CA,941,381976,-4.0125,-0.0999,-1.7350,-1.7311,0.5698
San Luis Obispo,CA,7019,4818111,-6.5864,2.2416,0.3412,0.5314,0.9600
San Diego,CA,3422,1319762,-4.3392,0.2454,-1.5511,-1.4967,0.5242
Los Angeles,CA,6998,3126534,-4.1938,5.4617,-0.1870,-0.1483,0.9157
Contra Costa,CA,1392,1041836,-4.4461,3.1711,0.0064,-0.0449,0.9925
Del Norte,CA,1805,1193568,-4.2781,4.7858,-0.1267,0.0467,1.6990
Santa Barbara,CA,6652,2904090,-11.8894,3.4774,-2.1979,-1.4650,2.2006
San Francisco,CA,167,92451,-2.9839,-0.4220,-1.0206,-0.9369,0.4279
Sonoma,CA,2827,1024757,-4.8375,3.9148,0.1810,-0.2257,1.3922
Solano,CA,23,1771,-2.7973,-0.7333,-1.8549,-1.6763,0.5511
Napa,CA,91,6113,-2.5811,1.9980,0.4764,0.6567,0.9597
Santa Cruz,CA,822,394554,-5.8437,-0.6361,-2.5970,-2.4092,1.0635
Santa Clara,CA,1766,839859,-5.1920,3.0706,-1.2060,-1.4154,1.4755
San Joaquin,CA,0,0,NA,NA,NA,NA,NA
Trinity,CA,310,210261,-3.5301,5.8212,1.9048,1.2345,2.1811
San Bernardino,CA,620,239033,-5.0210,0.4804,-1.8503,-1.8782,1.2829
Yolo,CA,0,0,NA,NA,NA,NA,NA
Siskiyou,CA,106,61671,1.1462,4.2634,2.5577,2.5335,0.6483
San Benito,CA,938,380112,-1.7404,1.4948,0.1505,0.2573,0.7049
Sutter,CA,0,0,NA,NA,NA,NA,NA
Sacramento,CA,8,2118,-1.5177,-0.8141,-1.1863,-1.1951,0.2351
Riverside,CA,2404,963603,-3.3454,1.0995,-0.9119,-0.8510,0.7654
Lincoln,OR,0,0,NA,NA,NA,NA,NA
Tillamook,OR,0,0,NA,NA,NA,NA,NA
Coos,OR,0,0,NA,NA,NA,NA,NA
Douglas,OR,0,0,NA,NA,NA,NA,NA
Lane,OR,0,0,NA,NA,NA,NA,NA
Clatsop,OR,0,0,NA,NA,NA,NA,NA
Curry,OR,0,0,NA,NA,NA,NA,NA
Benton,OR,0,0,NA,NA,NA,NA,NA
Josephine,OR,0,0,NA,NA,NA,NA,NA
Columbia,OR,0,0,NA,NA,NA,NA,NA
Multnomah,OR,0,0,NA,NA,NA,NA,NA
Clackamas,OR,0,0,NA,NA,NA,NA,NA
King,WA,0,0,NA,NA,NA,NA,NA
Grays Harbor,WA,0,0,NA,NA,NA,NA,NA
Whatcom,WA,0,0,NA,NA,NA,NA,NA
Pierce,WA,0,0,NA,NA,NA,NA,NA
Pacific,WA,0,0,NA,NA,NA,NA,NA
Thurston,WA,0,0,NA,NA,NA,NA,NA
Island,WA,0,0,NA,NA,NA,NA,NA
San Juan,WA,0,0,NA,NA,NA,NA,NA
Snohomish,WA,0,0,NA,NA,NA,NA,NA
Jefferson,WA,0,0,NA,NA,NA,NA,NA
Wahkiakum,WA,0,0,NA,NA,NA,NA,NA
Skagit,WA,0,0,NA,NA,NA,NA,NA
Mason,WA,0,0,NA,NA,NA,NA,NA
Kitsap,WA,0,0,NA,NA,NA,NA,NA
Clallam,WA,0,0,NA,NA,NA,NA,NA
Cowlitz,WA,0,0,NA,NA,NA,NA,NA
Clark,WA,0,0,NA,NA,NA,NA,NA
Lewis,WA,0,0,NA,NA,NA,NA,NA
Skamania,WA,0,0,NA,NA,NA,NA,NA
