"GEO_ID","NAME","B19113_001E","B19113_001M",
"Geography","Geographic Area Name","Estimate!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001; Alameda County; California","250,000+","***",
"1400000US06001400200","Census Tract 4002; Alameda County; California","250,000+","***",
"1400000US06001400300","Census Tract 4003; Alameda County; California","250,000+","***",
"1400000US06001400400","Census Tract 4004; Alameda County; California","241000","49518",
"1400000US06001400500","Census Tract 4005; Alameda County; California","149545","61297",
"1400000US06001400600","Census Tract 4006; Alameda County; California","138958","47546",
"1400000US06001400700","Census Tract 4007; Alameda County; California","91607","45390",
"1400000US06001400800","Census Tract 4008; Alameda County; California","153490","50530",
"1400000US06001400900","Census Tract 4009; Alameda County; California","118375","30048",
"1400000US06001401000","Census Tract 4010; Alameda County; California","162910","68132",
"1400000US06001401100","Census Tract 4011; Alameda County; California","94493","36654",
"1400000US06001401200","Census Tract 4012; Alameda County; California","243472","65411",
"1400000US06001401300","Census Tract 4013; Alameda County; California","104886","38286",
"1400000US06001401400","Census Tract 4014; Alameda County; California","85563","46802",
"1400000US06001401500","Census Tract 4015; Alameda County; California","83225","19464",
"1400000US06001401600","Census Tract 4016; Alameda County; California","100714","82741",
"1400000US06001401700","Census Tract 4017; Alameda County; California","178000","51788",
"1400000US06001401800","Census Tract 4018; Alameda County; California","61616","17595",
"1400000US06001402200","Census Tract 4022; Alameda County; California","126736","44579",
"1400000US06001402400","Census Tract 4024; Alameda County; California","41071","5126",
"1400000US06001402500","Census Tract 4025; Alameda County; California","66875","35557",
"1400000US06001402600","Census Tract 4026; Alameda County; California","58047","13492",
"1400000US06001402700","Census Tract 4027; Alameda County; California","122770","64952",
"1400000US06001402801","Census Tract 4028.01; Alameda County; California","34915","20068",
"1400000US06001402802","Census Tract 4028.02; Alameda County; California","-","**",
"1400000US06001402900","Census Tract 4029; Alameda County; California","93875","88367",
"1400000US06001403000","Census Tract 4030; Alameda County; California","30938","15982",
"1400000US06001403100","Census Tract 4031; Alameda County; California","135948","25154",
"1400000US06001403301","Census Tract 4033.01; Alameda County; California","-","**",
"1400000US06001403302","Census Tract 4033.02; Alameda County; California","240938","108540",
"1400000US06001403401","Census Tract 4034.01; Alameda County; California","123482","82417",
"1400000US06001403402","Census Tract 4034.02; Alameda County; California","64911","37069",
"1400000US06001403501","Census Tract 4035.01; Alameda County; California","122054","95614",
"1400000US06001403502","Census Tract 4035.02; Alameda County; California","122404","91119",
"1400000US06001403600","Census Tract 4036; Alameda County; California","116094","46860",
"1400000US06001403701","Census Tract 4037.01; Alameda County; California","91250","68065",
"1400000US06001403702","Census Tract 4037.02; Alameda County; California","121786","59617",
"1400000US06001403800","Census Tract 4038; Alameda County; California","214167","23992",
"1400000US06001403900","Census Tract 4039; Alameda County; California","216146","31238",
"1400000US06001404000","Census Tract 4040; Alameda County; California","121136","101504",
"1400000US06001404101","Census Tract 4041.01; Alameda County; California","240536","50216",
"1400000US06001404102","Census Tract 4041.02; Alameda County; California","190781","29394",
"1400000US06001404200","Census Tract 4042; Alameda County; California","250,000+","***",
"1400000US06001404300","Census Tract 4043; Alameda County; California","250,000+","***",
"1400000US06001404400","Census Tract 4044; Alameda County; California","250,000+","***",
"1400000US06001404501","Census Tract 4045.01; Alameda County; California","250,000+","***",
"1400000US06001404502","Census Tract 4045.02; Alameda County; California","250,000+","***",
"1400000US06001404600","Census Tract 4046; Alameda County; California","236563","35089",
"1400000US06001404700","Census Tract 4047; Alameda County; California","250,000+","***",
"1400000US06001404800","Census Tract 4048; Alameda County; California","187500","90849",
"1400000US06001404900","Census Tract 4049; Alameda County; California","176995","24872",
"1400000US06001405000","Census Tract 4050; Alameda County; California","219286","36085",
"1400000US06001405100","Census Tract 4051; Alameda County; California","250,000+","***",
"1400000US06001405200","Census Tract 4052; Alameda County; California","98788","17946",
"1400000US06001405301","Census Tract 4053.01; Alameda County; California","99750","63240",
"1400000US06001405302","Census Tract 4053.02; Alameda County; California","92308","58832",
"1400000US06001405401","Census Tract 4054.01; Alameda County; California","74219","18415",
"1400000US06001405402","Census Tract 4054.02; Alameda County; California","76292","19824",
"1400000US06001405500","Census Tract 4055; Alameda County; California","92821","35136",
"1400000US06001405600","Census Tract 4056; Alameda County; California","137792","69556",
"1400000US06001405700","Census Tract 4057; Alameda County; California","85372","29886",
"1400000US06001405800","Census Tract 4058; Alameda County; California","76750","18472",
"1400000US06001405901","Census Tract 4059.01; Alameda County; California","90625","41658",
"1400000US06001405902","Census Tract 4059.02; Alameda County; California","54844","20286",
"1400000US06001406000","Census Tract 4060; Alameda County; California","85625","37226",
"1400000US06001406100","Census Tract 4061; Alameda County; California","65561","13703",
"1400000US06001406201","Census Tract 4062.01; Alameda County; California","71738","14273",
"1400000US06001406202","Census Tract 4062.02; Alameda County; California","59688","24038",
"1400000US06001406300","Census Tract 4063; Alameda County; California","54156","17522",
"1400000US06001406400","Census Tract 4064; Alameda County; California","-","**",
"1400000US06001406500","Census Tract 4065; Alameda County; California","87670","32153",
"1400000US06001406601","Census Tract 4066.01; Alameda County; California","83250","17035",
"1400000US06001406602","Census Tract 4066.02; Alameda County; California","92031","22277",
"1400000US06001406700","Census Tract 4067; Alameda County; California","178801","38215",
"1400000US06001406800","Census Tract 4068; Alameda County; California","156750","69618",
"1400000US06001406900","Census Tract 4069; Alameda County; California","146934","12865",
"1400000US06001407000","Census Tract 4070; Alameda County; California","112708","40382",
"1400000US06001407101","Census Tract 4071.01; Alameda County; California","70250","59614",
"1400000US06001407102","Census Tract 4071.02; Alameda County; California","97684","30576",
"1400000US06001407200","Census Tract 4072; Alameda County; California","68289","21670",
"1400000US06001407300","Census Tract 4073; Alameda County; California","83264","16833",
"1400000US06001407400","Census Tract 4074; Alameda County; California","58594","27093",
"1400000US06001407500","Census Tract 4075; Alameda County; California","61532","39510",
"1400000US06001407600","Census Tract 4076; Alameda County; California","123250","48715",
"1400000US06001407700","Census Tract 4077; Alameda County; California","184713","22558",
"1400000US06001407800","Census Tract 4078; Alameda County; California","155929","31000",
"1400000US06001407900","Census Tract 4079; Alameda County; California","139861","58729",
"1400000US06001408000","Census Tract 4080; Alameda County; California","250,000+","***",
"1400000US06001408100","Census Tract 4081; Alameda County; California","226523","30100",
"1400000US06001408200","Census Tract 4082; Alameda County; California","93462","45224",
"1400000US06001408300","Census Tract 4083; Alameda County; California","152439","31941",
"1400000US06001408400","Census Tract 4084; Alameda County; California","83162","34442",
"1400000US06001408500","Census Tract 4085; Alameda County; California","102385","15633",
