"GEO_ID","NAME","B19113_001E","B19113_001M",
"Geography","Geographic Area Name","Estimate!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US41001950100","Census Tract 9501; Baker County; Oregon","83017","15433",
"1400000US41001950200","Census Tract 9502; Baker County; Oregon","76071","24749",
"1400000US41001950300","Census Tract 9503; Baker County; Oregon","58726","7007",
"1400000US41001950400","Census Tract 9504; Baker County; Oregon","88692","4994",
"1400000US41001950500","Census Tract 9505; Baker County; Oregon","102917","32559",
"1400000US41001950600","Census Tract 9506; Baker County; Oregon","57813","22785",
"1400000US41003000101","Census Tract 1.01; Benton County; Oregon","59438","34417",
"1400000US41003000102","Census Tract 1.02; Benton County; Oregon","107558","15183",
"1400000US41003000202","Census Tract 2.02; Benton County; Oregon","141597","36008",
"1400000US41003000401","Census Tract 4.01; Benton County; Oregon","131162","4166",
"1400000US41003000402","Census Tract 4.02; Benton County; Oregon","148561","37690",
"1400000US41003000500","Census Tract 5; Benton County; Oregon","138438","36632",
"1400000US41003000600","Census Tract 6; Benton County; Oregon","87000","38622",
"1400000US41003000900","Census Tract 9; Benton County; Oregon","129063","21480",
"1400000US41003001001","Census Tract 10.01; Benton County; Oregon","52985","13390",
"1400000US41003001002","Census Tract 10.02; Benton County; Oregon","106563","27225",
"1400000US41003001101","Census Tract 11.01; Benton County; Oregon","-","**",
"1400000US41003001102","Census Tract 11.02; Benton County; Oregon","136250","47090",
"1400000US41003010101","Census Tract 101.01; Benton County; Oregon","131595","13423",
"1400000US41003010102","Census Tract 101.02; Benton County; Oregon","135290","12357",
"1400000US41003010200","Census Tract 102; Benton County; Oregon","119761","12550",
"1400000US41003010300","Census Tract 103; Benton County; Oregon","108182","10769",
"1400000US41003010400","Census Tract 104; Benton County; Oregon","88750","17356",
"1400000US41003010601","Census Tract 106.01; Benton County; Oregon","-","**",
"1400000US41003010602","Census Tract 106.02; Benton County; Oregon","21691","8833",
"1400000US41003010702","Census Tract 107.02; Benton County; Oregon","93295","27560",
"1400000US41003010800","Census Tract 108; Benton County; Oregon","83487","17316",
"1400000US41003010900","Census Tract 109; Benton County; Oregon","115250","10723",
"1400000US41005020101","Census Tract 201.01; Clackamas County; Oregon","171705","50049",
"1400000US41005020102","Census Tract 201.02; Clackamas County; Oregon","250,000+","***",
"1400000US41005020201","Census Tract 202.01; Clackamas County; Oregon","129645","20307",
"1400000US41005020202","Census Tract 202.02; Clackamas County; Oregon","156977","39318",
"1400000US41005020302","Census Tract 203.02; Clackamas County; Oregon","182212","43252",
"1400000US41005020303","Census Tract 203.03; Clackamas County; Oregon","150897","21036",
"1400000US41005020304","Census Tract 203.04; Clackamas County; Oregon","165238","36543",
"1400000US41005020401","Census Tract 204.01; Clackamas County; Oregon","152279","38439",
"1400000US41005020403","Census Tract 204.03; Clackamas County; Oregon","248906","73392",
"1400000US41005020404","Census Tract 204.04; Clackamas County; Oregon","196250","32810",
"1400000US41005020503","Census Tract 205.03; Clackamas County; Oregon","205341","42735",
"1400000US41005020504","Census Tract 205.04; Clackamas County; Oregon","168457","16515",
"1400000US41005020505","Census Tract 205.05; Clackamas County; Oregon","163646","45399",
"1400000US41005020506","Census Tract 205.06; Clackamas County; Oregon","167639","28032",
"1400000US41005020507","Census Tract 205.07; Clackamas County; Oregon","198347","40437",
"1400000US41005020601","Census Tract 206.01; Clackamas County; Oregon","189107","68089",
"1400000US41005020602","Census Tract 206.02; Clackamas County; Oregon","161823","18822",
"1400000US41005020700","Census Tract 207; Clackamas County; Oregon","158625","26117",
"1400000US41005020800","Census Tract 208; Clackamas County; Oregon","86078","12931",
"1400000US41005020900","Census Tract 209; Clackamas County; Oregon","100781","32247",
"1400000US41005021000","Census Tract 210; Clackamas County; Oregon","114730","7638",
"1400000US41005021100","Census Tract 211; Clackamas County; Oregon","103500","35054",
"1400000US41005021200","Census Tract 212; Clackamas County; Oregon","121289","50384",
"1400000US41005021300","Census Tract 213; Clackamas County; Oregon","80361","4906",
"1400000US41005021400","Census Tract 214; Clackamas County; Oregon","107030","20195",
"1400000US41005021500","Census Tract 215; Clackamas County; Oregon","119375","21115",
"1400000US41005021601","Census Tract 216.01; Clackamas County; Oregon","89583","7808",
"1400000US41005021602","Census Tract 216.02; Clackamas County; Oregon","74063","25555",
"1400000US41005021700","Census Tract 217; Clackamas County; Oregon","95859","23115",
"1400000US41005021801","Census Tract 218.01; Clackamas County; Oregon","125547","29388",
"1400000US41005021802","Census Tract 218.02; Clackamas County; Oregon","82992","25667",
"1400000US41005021900","Census Tract 219; Clackamas County; Oregon","66151","25358",
"1400000US41005022000","Census Tract 220; Clackamas County; Oregon","110931","13761",
"1400000US41005022101","Census Tract 221.01; Clackamas County; Oregon","99535","10774",
"1400000US41005022105","Census Tract 221.05; Clackamas County; Oregon","108524","20775",
"1400000US41005022107","Census Tract 221.07; Clackamas County; Oregon","68727","16427",
"1400000US41005022108","Census Tract 221.08; Clackamas County; Oregon","73021","24378",
"1400000US41005022109","Census Tract 221.09; Clackamas County; Oregon","115000","23015",
"1400000US41005022110","Census Tract 221.10; Clackamas County; Oregon","109702","2345",
"1400000US41005022201","Census Tract 222.01; Clackamas County; Oregon","51087","13339",
"1400000US41005022205","Census Tract 222.05; Clackamas County; Oregon","150789","24766",
"1400000US41005022206","Census Tract 222.06; Clackamas County; Oregon","116250","19461",
"1400000US41005022207","Census Tract 222.07; Clackamas County; Oregon","157794","26994",
"1400000US41005022208","Census Tract 222.08; Clackamas County; Oregon","119971","21669",
"1400000US41005022301","Census Tract 223.01; Clackamas County; Oregon","119219","21111",
"1400000US41005022302","Census Tract 223.02; Clackamas County; Oregon","106597","21530",
"1400000US41005022400","Census Tract 224; Clackamas County; Oregon","96571","26812",
"1400000US41005022501","Census Tract 225.01; Clackamas County; Oregon","96375","31729",
"1400000US41005022502","Census Tract 225.02; Clackamas County; Oregon","95313","23320",
"1400000US41005022602","Census Tract 226.02; Clackamas County; Oregon","125395","13669",
"1400000US41005022603","Census Tract 226.03; Clackamas County; Oregon","116832","8056",
"1400000US41005022605","Census Tract 226.05; Clackamas County; Oregon","98885","24173",
"1400000US41005022606","Census Tract 226.06; Clackamas County; Oregon","138913","22043",
"1400000US41005022702","Census Tract 227.02; Clackamas County; Oregon","183946","17045",
"1400000US41005022707","Census Tract 227.07; Clackamas County; Oregon","141168","12097",
"1400000US41005022708","Census Tract 227.08; Clackamas County; Oregon","139659","52542",
"1400000US41005022710","Census Tract 227.10; Clackamas County; Oregon","89205","51460",
"1400000US41005022800","Census Tract 228; Clackamas County; Oregon","94141","14206",
"1400000US41005022901","Census Tract 229.01; Clackamas County; Oregon","121296","19204",
"1400000US41005022904","Census Tract 229.04; Clackamas County; Oregon","102600","18737",
"1400000US41005022905","Census Tract 229.05; Clackamas County; Oregon","124087","18682",
"1400000US41005022906","Census Tract 229.06; Clackamas County; Oregon","128558","50769",
"1400000US41005022907","Census Tract 229.07; Clackamas County; Oregon","93341","9640",
"1400000US41005023001","Census Tract 230.01; Clackamas County; Oregon","131678","13034",
"1400000US41005023002","Census Tract 230.02; Clackamas County; Oregon","125469","24074",
"1400000US41005023100","Census Tract 231; Clackamas County; Oregon","115898","18882",
"1400000US41005023201","Census Tract 232.01; Clackamas County; Oregon","138618","17342",
"1400000US41005023202","Census Tract 232.02; Clackamas County; Oregon","112963","18127",
"1400000US41005023300","Census Tract 233; Clackamas County; Oregon","135608","30067",
"1400000US41005023401","Census Tract 234.01; Clackamas County; Oregon","122663","31351",
"1400000US41005023403","Census Tract 234.03; Clackamas County; Oregon","120844","30041",
"1400000US41005023404","Census Tract 234.04; Clackamas County; Oregon","113158","27846",
"1400000US41005023500","Census Tract 235; Clackamas County; Oregon","103176","33715",
"1400000US41005023600","Census Tract 236; Clackamas County; Oregon","111799","28418",
"1400000US41005023700","Census Tract 237; Clackamas County; Oregon","117460","18477",
"1400000US41005023800","Census Tract 238; Clackamas County; Oregon","133580","15307",
"1400000US41005023901","Census Tract 239.01; Clackamas County; Oregon","110827","7438",
"1400000US41005023902","Census Tract 239.02; Clackamas County; Oregon","89381","20514",
"1400000US41005024000","Census Tract 240; Clackamas County; Oregon","113621","27453",
"1400000US41005024100","Census Tract 241; Clackamas County; Oregon","115590","24239",
"1400000US41005024200","Census Tract 242; Clackamas County; Oregon","79231","17558",
"1400000US41005024302","Census Tract 243.02; Clackamas County; Oregon","108647","8034",
"1400000US41005024303","Census Tract 243.03; Clackamas County; Oregon","99089","9576",
"1400000US41005024304","Census Tract 243.04; Clackamas County; Oregon","104688","27597",
"1400000US41005024401","Census Tract 244.01; Clackamas County; Oregon","82093","40549",
"1400000US41005024402","Census Tract 244.02; Clackamas County; Oregon","110900","28717",
"1400000US41005980000","Census Tract 9800; Clackamas County; Oregon","-","**",
"1400000US41007950100","Census Tract 9501; Clatsop County; Oregon","71710","10302",
"1400000US41007950200","Census Tract 9502; Clatsop County; Oregon","110863","19921",
"1400000US41007950300","Census Tract 9503; Clatsop County; Oregon","91380","8230",
"1400000US41007950400","Census Tract 9504; Clatsop County; Oregon","98750","20960",
"1400000US41007950500","Census Tract 9505; Clatsop County; Oregon","81345","6767",
"1400000US41007950600","Census Tract 9506; Clatsop County; Oregon","102604","7971",
"1400000US41007950700","Census Tract 9507; Clatsop County; Oregon","101250","30754",
"1400000US41007950900","Census Tract 9509; Clatsop County; Oregon","66477","38803",
"1400000US41007951100","Census Tract 9511; Clatsop County; Oregon","94583","35144",
"1400000US41007951200","Census Tract 9512; Clatsop County; Oregon","80625","17445",
"1400000US41007951300","Census Tract 9513; Clatsop County; Oregon","96729","13877",
"1400000US41007990000","Census Tract 9900; Clatsop County; Oregon","-","**",
"1400000US41009970201","Census Tract 9702.01; Columbia County; Oregon","95408","13942",
"1400000US41009970202","Census Tract 9702.02; Columbia County; Oregon","85841","9857",
"1400000US41009970300","Census Tract 9703; Columbia County; Oregon","75484","16957",
"1400000US41009970400","Census Tract 9704; Columbia County; Oregon","106600","22663",
"1400000US41009970500","Census Tract 9705; Columbia County; Oregon","100195","10183",
"1400000US41009970600","Census Tract 9706; Columbia County; Oregon","125566","11044",
"1400000US41009970700","Census Tract 9707; Columbia County; Oregon","79561","15004",
"1400000US41009970800","Census Tract 9708; Columbia County; Oregon","88885","10706",
"1400000US41009970900","Census Tract 9709; Columbia County; Oregon","106029","16406",
"1400000US41009971000","Census Tract 9710; Columbia County; Oregon","126029","14155",
