"GEO_ID","NAME","B19113_001E","B19113_001M",
"Geography","Geographic Area Name","Estimate!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)","Margin of Error!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)",
"1400000US53001950100","Census Tract 9501; Adams County; Washington","78833","6472",
"1400000US53001950200","Census Tract 9502; Adams County; Washington","76008","6771",
"1400000US53001950301","Census Tract 9503.01; Adams County; Washington","65625","22731",
"1400000US53001950302","Census Tract 9503.02; Adams County; Washington","54922","27936",
"1400000US53001950303","Census Tract 9503.03; Adams County; Washington","62159","15329",
"1400000US53001950400","Census Tract 9504; Adams County; Washington","80313","20290",
"1400000US53001950500","Census Tract 9505; Adams County; Washington","70052","14086",
"1400000US53003960100","Census Tract 9601; Asotin County; Washington","84152","10448",
"1400000US53003960200","Census Tract 9602; Asotin County; Washington","110735","14334",
"1400000US53003960300","Census Tract 9603; Asotin County; Washington","74028","22719",
"1400000US53003960400","Census Tract 9604; Asotin County; Washington","61194","7572",
"1400000US53003960500","Census Tract 9605; Asotin County; Washington","68304","26665",
"1400000US53003960600","Census Tract 9606; Asotin County; Washington","68235","24435",
"1400000US53005010100","Census Tract 101; Benton County; Washington","123750","22298",
"1400000US53005010201","Census Tract 102.01; Benton County; Washington","124826","21744",
"1400000US53005010203","Census Tract 102.03; Benton County; Washington","85859","24162",
"1400000US53005010204","Census Tract 102.04; Benton County; Washington","54911","38487",
"1400000US53005010300","Census Tract 103; Benton County; Washington","83125","20437",
"1400000US53005010400","Census Tract 104; Benton County; Washington","92315","14331",
"1400000US53005010500","Census Tract 105; Benton County; Washington","90495","10838",
"1400000US53005010600","Census Tract 106; Benton County; Washington","67716","11974",
"1400000US53005010701","Census Tract 107.01; Benton County; Washington","110375","12907",
"1400000US53005010703","Census Tract 107.03; Benton County; Washington","86577","10504",
"1400000US53005010705","Census Tract 107.05; Benton County; Washington","126719","21010",
"1400000US53005010707","Census Tract 107.07; Benton County; Washington","160074","19008",
"1400000US53005010708","Census Tract 107.08; Benton County; Washington","150307","11169",
"1400000US53005010807","Census Tract 108.07; Benton County; Washington","137418","27944",
"1400000US53005010809","Census Tract 108.09; Benton County; Washington","111111","42270",
"1400000US53005010810","Census Tract 108.10; Benton County; Washington","138318","23375",
"1400000US53005010811","Census Tract 108.11; Benton County; Washington","203681","11537",
"1400000US53005010814","Census Tract 108.14; Benton County; Washington","163507","15806",
"1400000US53005010815","Census Tract 108.15; Benton County; Washington","119706","29256",
"1400000US53005010816","Census Tract 108.16; Benton County; Washington","131004","27338",
"1400000US53005010817","Census Tract 108.17; Benton County; Washington","170179","39223",
"1400000US53005010818","Census Tract 108.18; Benton County; Washington","153636","4626",
"1400000US53005010819","Census Tract 108.19; Benton County; Washington","174911","39246",
